English	French
please loan me your dictionary	prêtez moi s il vous plaît votre dictionnaire
he rested his hand on my shoulder	il posa sa main sur mon épaule
you ought not to miss it	vous ne devez pas manquer ça
i do not know how long this ll take	je ne sais pas combien de temps ça prendra
tom is afraid of you	tom a peur de vous
there s a new boy in school	il y a un nouveau garçon à l école
this is my beer	ce est ma bière
let me do the cooking	laissez moi faire la cuisine
i know it is a lie	je sais que ce est un mensonge
what are you two doing	que faites vous tous les deux
the teacher is strict with his students	l instituteur est sévère avec ses élèves
every time i went to his house he was not at home	à chaque fois que j allais chez lui il n était pas là
i am glad you brought that up	je suis ravi que vous ayez soulevé ça
i missed the bus by three minutes	je ai manqué le bus de trois minutes
they have no natural predators	elles n ont pas de prédateurs naturels
i just think you should be more careful that s all	je pense simplement que vous devriez être plus prudent ce est tout
i am going to give you one more chance	je vais te donner une chance supplémentaire
you cannot just leave me here to die	tu ne peux pas simplement me laisser mourir ici
do you know anyone in australia	connaissez vous quelqu un en australie
what are some foods you only eat in the evening	quels sont les aliments qu on ne consomme que le soir
is that what you want to do	est ce ce que vous voulez faire
he may have missed the train	il se peut qu il ait raté le train
we chopped our way through the jungle	nous nous taillâmes un chemin à travers la jungle
tom knows how to cook spaghetti	tom sait préparer les spaghettis
they were all surprised to see me there	ils étaient tous surpris de me voir là
i cannot do anything until this project is done	je ne peux rien faire tant que ce projet ne est pas fini
tell mary i love her	dis à mary que je l aime
do tigers purr	les tigres ronronnent ils
because of the bad weather i did not go	à cause du mauvais temps je n y suis pas allé
does he have to run so fast	doit il courir si vite
what kind of car are you driving	quel genre de voiture conduisez vous
love is everything	l amour ce est tout
please give him a call	veuillez lui téléphoner je vous prie
you are very nice	tu es très chouette
in a sense you are right	dans un certain sens vous avez raison
it is been ten years since we last met	cela fait dix ans que l on ne s est pas vus
please do something about it	veuillez faire quelque chose à cela je vous prie
it is tom s turn to wash the dishes	ce est au tour de tom de faire la vaisselle
tom folded his shirts	tom a plié ses chemises
meet me in the lobby	rejoins moi dans le hall
that s all i had to say	ce est tout ce que j avais à dire
mother is making tea for us	ma mère nous fait du thé
a bunch of people died in the explosion	un groupe de personnes moururent dans l explosion
tom was offended by what mary said	tom a été blessé par ce que mary a dit
it may well be that you are right	il se peut bien que vous ayez raison
is he a friend of yours	est il l un de vos amis
i waited for him all day long	je l ai attendu toute la journée
do you want your old job back	voulez vous récupérer votre ancien poste
fake it till you make it	faites semblant en attendant de le faire
i do not need a bed	je n ai pas besoin de lit
i am korean	je suis coréen
animals act on instinct	les animaux sont mus par leur instinct
you do not like chocolate do you	tu n aimes pas le chocolat ne est ce pas
it was obviously a joke	c était à l évidence une blague
you are hands down the biggest idiot i have ever met	tu es haut la main le pire des idiots que j aie jamais rencontré
i have not seen you for ages	je ne suis pas venu vous voir depuis longtemps
you can have it for nothing	tu peux l avoir pour rien
i saw tom yesterday and he looked sad	je ai vu tom hier et il avait l air triste
you will have to work a lot	vous devrez beaucoup travailler
there s something fishy going on	quelque chose de suspect est en train de se passer
the body converts extra calories into fat	le corps transforme les calories superflues en graisse
we live here	nous vivons ici
tom was surprised by what he saw	tom a été surpris par ce qu il a vu
when you are eighteen years old you are an adult in the united states	quand on a dix huit ans on est majeur aux états unis d amérique
he has the backing of a certain politician	il a l appui d un certain politicien
she advised him to go there alone but he did not think that was good advice	elle lui a recommandé d y aller seul mais il ne pensait pas que c était un bon conseil
he went out to eat	il sortit manger
the suspect began to confess at last	le suspect a enfin commencé à avouer
it is just a dream	ce ne est qu un rêve
the dog bit my hand	le chien m a mordu la main
i d like you to come work for me	j aimerais que vous veniez travailler pour moi
when did you first meet him	quand l as tu rencontré pour la première fois
tom did not want just any car he wanted his grandfather s car	tom ne voulait pas n importe quelle voiture il voulait la voiture de son grand père
you cannot fix it in the amount of time you have left	vous ne pouvez pas le réparer au cours de la somme de temps qui vous reste
we will someday make the world a better place	un jour nous ferons du monde un meilleur endroit
i cannot remember where this little doodad goes	je n arrive pas à me rappeler où va ce petit truc
she did not give me back my money	elle ne m a pas rendu mon argent
do you know who killed tom	sais tu qui a tué tom
i think it is reliable	je pense que ce est fiable
that s what you always do	ce est ce que vous faites toujours
let me know as soon as he comes	fais moi savoir aussitôt qu il arrive
you have no idea how important you are to me	tu n as pas idée de combien tu es importante pour moi
you do not look japanese	tu n as pas l air japonaise
is that warranted	est ce garanti
she asked me how many languages i spoke	elle m a demandé combien de langues je parle
that shop has many customers	ce magasin a beaucoup de clients
news of the recent blast is all over the radio	les nouvelles de la récente explosion sont partout à la radio
it is a rainy day	ce est jour pluvieux
why do not you run for student council	pourquoi ne te portes tu pas candidat au conseil des élèves
i remember that guy	je me souviens de ce type
do not you think i would like to do that	ne penses tu pas que j aimerais le faire
